Wall time,Step,Value
1528062545.338016,391792,-3.4044275283813477
1528062600.352197,393876,-3.4251017570495605
1528062655.962859,395960,-3.419463872909546
1528062710.645431,398044,-3.4084973335266113
1528062766.048985,400128,-3.4219322204589844
1528062820.663713,402212,-3.442734956741333
1528062874.553548,404296,-3.429185152053833
1528062928.051858,406380,-3.4322493076324463
1528062981.599521,408464,-3.429229736328125
1528063034.716107,410548,-3.4476773738861084
1528063088.041876,412632,-3.4657020568847656
1528063142.340238,414716,-3.4662837982177734
1528063284.992608,416800,-3.465172290802002
1528063337.745132,418884,-3.474998712539673
1528063391.595749,420968,-3.486377239227295
1528063444.744282,423052,-3.471937417984009
1528063496.163346,425136,-3.482032060623169
1528063547.54886,427220,-3.4730992317199707
1528063599.548391,429304,-3.494675874710083
1528063651.237678,431388,-3.492687225341797
1528063703.432271,433472,-3.5037169456481934
1528063756.040128,435556,-3.4994113445281982
1528063808.074905,437640,-3.5004758834838867
1528063859.77551,439724,-3.500788688659668
1528063911.586791,441808,-3.5285606384277344
1528063963.092017,443892,-3.5252513885498047
1528064014.518941,445976,-3.5266220569610596
1528064066.828828,448060,-3.526492118835449
1528064119.118431,450144,-3.5341782569885254
1528064171.047805,452228,-3.5415775775909424
1528064222.59387,454312,-3.535031795501709
1528064274.052281,456396,-3.5509471893310547
1528064413.217668,458480,-3.549539804458618
1528064464.940377,460564,-3.570154905319214
1528064517.052932,462648,-3.562723398208618
1528064568.751308,464732,-3.5652220249176025
1528064620.448333,466816,-3.5797293186187744
1528064672.738808,468900,-3.568812847137451
1528064725.139257,470984,-3.548553943634033
1528064776.701135,473068,-3.5753374099731445
1528064828.264608,475152,-3.578537702560425
1528064880.282116,477236,-3.5854878425598145
1528064932.664648,479320,-3.584482431411743
1528064984.405761,481404,-3.5889487266540527
1528065035.802377,483488,-3.5879485607147217
1528065087.916346,485572,-3.5916004180908203
1528065139.457012,487656,-3.588404893875122
1528065191.314885,489740,-3.608058214187622
1528065243.107581,491824,-3.613717555999756
1528065294.50006,493908,-3.625805139541626
1528065346.442054,495992,-3.620654821395874
1528065398.708962,498076,-3.620999574661255
1528065537.500691,500160,-3.6095778942108154
1528065588.867709,502244,-3.631444215774536
1528065640.451701,504328,-3.618009567260742
1528065692.270139,506412,-3.636275291442871
1528065744.506844,508496,-3.6480350494384766
1528065795.956533,510580,-3.642296552658081
1528065847.515253,512664,-3.64648175239563
1528065899.433349,514748,-3.6366593837738037
1528065953.178321,516832,-3.640268564224243
1528066006.123825,518916,-3.6489691734313965
1528066057.756131,521000,-3.652838945388794
1528066110.349821,523084,-3.6596109867095947
1528066162.967619,525168,-3.659176826477051
1528066214.594774,527252,-3.6719753742218018
1528066266.191741,529336,-3.685758113861084
1528066317.884227,531420,-3.6875545978546143
1528066369.480548,533504,-3.664360761642456
1528066427.766102,535588,-3.6797096729278564
1528066481.813242,537672,-3.6860568523406982
1528066535.437742,539756,-3.693476915359497
1528066677.345278,541840,-3.700993061065674
1528066730.320502,543924,-3.7000973224639893
1528066784.150404,546008,-3.704876184463501
1528066837.470746,548092,-3.689980983734131
1528066890.778525,550176,-3.691413640975952
1528066944.248253,552260,-3.699249744415283
1528066997.054992,554344,-3.6891257762908936
1528067049.440184,556428,-3.7008402347564697
1528067100.84957,558512,-3.710413694381714
1528067152.342157,560596,-3.712148427963257
1528067204.343369,562680,-3.7320144176483154
1528067255.822188,564764,-3.7444663047790527
1528067308.394517,566848,-3.737431287765503
1528067360.501476,568932,-3.7356743812561035
1528067412.646977,571016,-3.7319343090057373
1528067464.743583,573100,-3.7347397804260254
1528067516.083214,575184,-3.721464157104492
1528067567.92459,577268,-3.74466872215271
1528067619.395476,579352,-3.7530648708343506
1528067671.810744,581436,-3.7489967346191406
1528067810.048028,583520,-3.756460428237915
1528067861.664763,585604,-3.7520523071289062
1528067913.842741,587688,-3.765305757522583
1528067966.21702,589772,-3.7440929412841797
1528068017.89824,591856,-3.7748348712921143
1528068069.434376,593940,-3.7669341564178467
1528068121.223319,596024,-3.761335611343384
1528068173.217555,598108,-3.7634501457214355
1528068225.129431,600192,-3.7723371982574463
1528068276.930607,602276,-3.771976947784424
1528068329.221596,604360,-3.7859036922454834
1528068380.911383,606444,-3.788609743118286
1528068432.68782,608528,-3.776367664337158
1528068484.484034,610612,-3.7753562927246094
1528068536.905882,612696,-3.7820560932159424
1528068588.844974,614780,-3.811800956726074
1528068640.857689,616864,-3.802790403366089
1528068693.446447,618948,-3.81108021736145
1528068745.729892,621032,-3.8214523792266846
1528068797.564847,623116,-3.822695255279541
1528068936.497377,625200,-3.81124210357666
1528068988.877165,627284,-3.808865785598755
1528069040.902046,629368,-3.8107612133026123
1528069092.959808,631452,-3.7984890937805176
1528069145.041989,633536,-3.807628870010376
1528069197.108402,635620,-3.8060224056243896
1528069249.087092,637704,-3.8319647312164307
1528069300.83887,639788,-3.817009925842285
1528069353.385079,641872,-3.823509693145752
1528069405.838957,643956,-3.8279459476470947
1528069457.65305,646040,-3.820162534713745
1528069509.62372,648124,-3.8189280033111572
1528069562.749008,650208,-3.818312406539917
1528069614.856465,652292,-3.8247692584991455
