Wall time,Step,Value
1528077479.087312,939884,-103.6977767944336
1528077531.283428,941968,-103.65010833740234
1528077583.576793,944052,-103.6278076171875
1528077636.092276,946136,-103.65218353271484
1528077688.124584,948220,-103.6642074584961
1528077740.611876,950304,-103.62963104248047
1528077792.906889,952388,-103.55950927734375
1528077845.140595,954472,-103.56245422363281
1528077897.608549,956556,-103.51215362548828
1528078036.353362,958640,-103.55794525146484
1528078087.938892,960724,-103.56262969970703
1528078140.934874,962808,-103.50284576416016
1528078193.054952,964892,-103.54756927490234
1528078244.60882,966976,-103.5420150756836
1528078297.014244,969060,-103.50077819824219
1528078348.797604,971144,-103.51823425292969
1528078401.055781,973228,-103.4527359008789
1528078453.500558,975312,-103.49681854248047
1528078505.716853,977396,-103.41360473632812
1528078557.182412,979480,-103.40433502197266
1528078609.079404,981564,-103.43055725097656
1528078661.521864,983648,-103.40894317626953
1528078713.724804,985732,-103.412841796875
1528078765.671168,987816,-103.3757095336914
1528078817.362459,989900,-103.33160400390625
1528078869.005522,991984,-103.35516357421875
1528078921.164951,994068,-103.36239624023438
1528078972.755991,996152,-103.38880157470703
1528079025.058519,998236,-103.3690185546875
1528079164.444283,1000320,-103.30852508544922
